dept_rollup_name,fund_name,program_name,expense_category,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Austin Energy,Austin Energy Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,479629401.0,379388614.71000004,12,75.0,359722050.75,100240786.28999996,79.1003666412018,19666563.96000004,4.100366641201802,505851486.28000003,26222085.28000003,Near pace
General Obligation Debt Service,General Obligation Debt Service Fund,Transfers and Other Requirements,Transfers & debt service,281460710.0,77014205.67,2,75.0,211095532.5,204446504.32999998,27.362329068948913,-134081326.83,-47.63767093105109,102685607.56,-178775102.44,Below pace
Austin Energy,Austin Energy Fund,Electric System,Contractual services,269981957.0,212207401.16,208,75.0,202486467.75,57774555.84,78.60058631992212,9720933.409999996,3.6005863199221153,282943201.5466667,12961244.546666682,Near pace
Aviation,Airport Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,238306905.0,71648227.42,7,75.0,178730178.75,166658677.57999998,30.06552723262467,-107081951.33,-44.934472767375325,95530969.89333333,-142775935.10666668,Below pace
Enterprise Debt Service,AWU Debt Service Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,225161708.0,214220394.21,4,75.0,168871281.0,10941313.789999992,95.14068627068684,45349113.21000001,20.140686270686842,285627192.28000003,60465484.28000003,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,224880632.0,176865245.13,12,75.0,168660474.0,48015386.870000005,78.64850056540219,8204771.129999995,3.6485005654021876,235820326.84,10939694.840000004,Near pace
Austin Energy,E-Elec Short Trm Debt Clearing,Electric Cip Transfers To,Transfers & debt service,223938407.0,126990000.0,1,75.0,167953805.25,96948407.0,56.70755709180337,-40963805.25,-18.292442908196627,169320000.0,-54618407.0,Below pace
Austin Water,Austin Water Water Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,208413427.0,164334835.44,14,75.0,156310070.25,44078591.56,78.85040700376756,8024765.189999998,3.8504070037675575,219113113.92,10699686.919999987,Near pace
Nondepartmental,Project Connect Fund,Division Placeholder,Contractual services,186681064.0,183546919.35,1,75.0,140010798.0,3134144.650000006,98.3211234268517,43536121.349999994,23.3211234268517,244729225.79999998,58048161.79999998,Above pace
Aviation,Airport Capital Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,185706476.0,119781763.25,2,75.0,139279857.0,65924712.75,64.50058491767406,-19498093.75,-10.499415082325939,159709017.66666666,-25997458.333333343,Below pace
Enterprise Debt Service,AE Debt Service Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,174097715.0,174736976.86,2,75.0,130573286.25,-639261.8600000143,100.36718566926625,44163690.610000014,25.36718566926625,232982635.81333336,58884920.81333336,Above pace
Human Resources,Employee Benefits Fund,Employee Medical,Personnel & benefits,169271849.0,152599297.72,3,75.0,126953886.75,16672551.280000001,90.15042880520552,25645410.97,15.150428805205522,203465730.29333332,34193881.29333332,Above pace
Nondepartmental,Hotel Occupancy Tax Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,167288265.0,172282881.85999998,6,75.0,125466198.75,-4994616.8599999845,102.98563492185181,46816683.109999985,27.985634921851812,229710509.14666665,62422244.146666646,Above pace
